FECHA,y,x1,x2,x3
2019-07-22,79.0,341,325,331
2019-12-30,39.0,129,145,132
2019-11-12,142.0,401,371,350
2020-04-13,234.0,436,444,454
2020-04-06,172.0,407,401,384
2019-10-09,99.0,457,423,420
2020-03-18,135.0,314,276,292
2019-11-30,115.0,374,393,373
2019-10-16,111.0,477,482,442
2019-12-14,149.0,511,514,502
2020-04-02,142.0,342,334,346
2020-04-12,125.0,275,272,271
2019-11-15,151.0,567,497,527
2019-08-01,63.0,270,289,263
2020-04-08,161.0,320,358,321
2019-09-10,43.0,195,227,228
2020-01-09,39.0,152,145,146
2019-08-09,75.0,296,278,267
2020-03-02,194.0,331,312,323
2019-11-19,144.0,540,511,543
2019-09-26,45.0,209,204,178
2019-08-17,44.0,169,181,175
2019-07-29,77.0,295,310,308
2019-05-01,67.0,262,261,256
2019-10-21,98.0,417,409,419
2020-01-02,50.0,163,163,191
2019-08-12,63.0,309,269,296
2019-08-13,78.0,296,280,278
2019-08-16,56.0,225,221,226
2019-05-22,67.0,335,320,348
2019-12-10,209.0,726,700,706
2019-05-05,52.0,173,213,193
2020-02-24,170.0,257,310,262
2019-09-22,26.0,121,103,112
2019-09-29,26.0,147,136,131
2019-06-20,76.0,323,313,311
2019-09-30,120.0,511,493,479
2019-12-22,38.0,109,115,113
2019-11-11,94.0,418,422,408
2020-05-16,222.0,488,450,519
2020-03-11,140.0,287,313,296
2019-07-05,63.0,294,258,281
2020-01-01,20.0,72,64,77
2019-07-26,56.0,253,243,234
2020-02-08,,196,206,201
2019-11-22,103.0,360,337,353
2020-05-11,224.0,549,521,516
2019-06-28,62.0,284,300,266
2019-09-15,19.0,105,98,97
2019-06-14,68.0,316,311,298
2019-08-27,56.0,228,223,212
2020-02-27,165.0,247,278,215
2020-02-12,,295,330,284
2020-03-07,89.0,158,179,154
2019-05-06,94.0,340,332,346
2020-01-30,88.0,154,130,146
2019-11-27,126.0,384,426,442
2020-01-26,38.0,82,87,90
2019-12-17,79.0,266,268,229
2020-01-22,68.0,181,153,170
2019-12-29,26.0,108,97,100
2020-03-25,111.0,268,255,300
2019-06-18,91.0,414,348,392
2020-03-27,124.0,255,248,251
2019-07-17,86.0,389,416,417
2020-04-05,103.0,251,260,260
2019-05-08,67.0,318,330,306
2019-04-29,82.0,315,328,306
2020-01-18,26.0,112,105,98
2019-09-13,34.0,116,125,147
2019-12-02,179.0,601,618,635
2019-06-30,65.0,248,254,230
2019-12-25,32.0,70,69,87
2019-04-26,52.0,235,249,235
2019-09-03,57.0,237,247,234
2019-07-02,84.0,382,338,364
2020-01-25,48.0,115,113,94
2019-12-18,71.0,242,245,258
2020-04-20,230.0,464,498,516
2019-05-29,107.0,501,479,466
2019-10-11,73.0,361,351,351
2019-04-18,45.0,162,167,171
2020-02-05,,265,281,307
2019-08-20,66.0,292,257,240
2019-10-04,83.0,384,390,418
2019-12-05,192.0,550,568,541
2019-04-30,69.0,302,298,285
2019-05-02,83.0,274,282,264
2019-09-23,83.0,257,267,238
2019-09-06,44.0,162,160,155
2020-05-07,175.0,489,446,473
2020-05-02,212.0,411,390,405
2019-09-19,41.0,163,161,152
2019-10-19,55.0,216,208,260
2019-06-10,85.0,390,403,407
2020-02-15,,178,166,168
2019-07-06,49.0,226,196,207
2020-03-26,156.0,261,275,274
2020-05-14,199.0,564,560,534
2019-07-14,55.0,211,197,202
2019-05-27,134.0,513,498,476
2019-12-28,36.0,119,108,119
2019-11-10,61.0,242,230,223
2020-03-01,121.0,206,199,211
2019-06-13,82.0,373,336,320
2019-08-11,39.0,186,174,192
2019-05-10,63.0,238,218,203
2019-07-24,69.0,354,302,298
2020-04-24,150.0,418,419,430
2020-01-13,57.0,151,149,167
2019-04-23,60.0,337,325,323
2019-10-26,68.0,247,234,230
2020-02-01,,103,101,105
2019-09-05,41.0,179,223,202
2019-09-01,40.0,159,183,161
2019-10-08,73.0,493,464,478
2020-02-10,,359,376,337
2020-03-30,147.0,345,316,317
2019-07-25,57.0,257,262,279
2019-09-16,25.0,113,121,110
2020-01-29,68.0,168,133,147
2019-09-21,23.0,114,102,103
2019-08-04,41.0,200,175,167
2020-05-09,181.0,416,399,408
2019-09-20,29.0,138,122,138
2019-06-25,100.0,328,345,355
2020-04-01,198.0,368,339,377
2019-05-21,81.0,366,381,383
2019-12-20,61.0,169,154,165
2019-12-09,207.0,695,661,681
2019-05-11,41.0,177,181,191
2019-12-01,104.0,356,371,386
2019-09-24,46.0,255,275,237
2019-08-07,66.0,317,292,313
2019-04-07,58.0,157,195,164
2019-07-31,80.0,318,310,316
2019-05-12,44.0,190,168,153
2019-11-03,53.0,230,210,209
2019-08-02,51.0,253,233,280
2019-10-30,94.0,369,386,347
2019-12-07,147.0,412,379,393
2019-09-12,35.0,160,130,134
2020-01-08,51.0,153,157,173
2019-11-05,114.0,391,420,429
2019-05-03,59.0,275,270,247
2020-04-26,136.0,354,325,346
2019-08-06,76.0,293,313,339
2019-05-19,46.0,212,180,212
2020-01-31,98.0,125,126,111
2019-05-15,95.0,374,334,356
2020-04-17,208.0,425,469,426
2019-09-28,30.0,135,136,117
2019-04-24,69.0,307,290,297
2019-11-25,123.0,482,492,509
2019-06-21,51.0,281,309,257
2019-04-16,57.0,277,270,261
2020-03-05,144.0,262,285,268
2019-07-16,106.0,442,403,467
2020-01-12,36.0,104,109,105
2020-01-04,37.0,118,111,116
2019-10-14,107.0,499,508,471
2019-12-19,62.0,202,179,205
2019-05-30,113.0,480,461,466
2019-12-31,33.0,106,92,101
2019-10-15,112.0,474,476,482
2019-11-29,149.0,533,502,486
2020-04-14,204.0,502,468,486
2019-08-10,54.0,173,199,161
2019-12-23,50.0,131,133,142
2019-10-06,59.0,305,355,292
2019-08-25,22.0,167,109,149
2020-03-16,126.0,260,245,251
2020-04-03,140.0,320,314,329
2020-01-27,71.0,156,159,183
2019-04-25,58.0,278,259,290
2019-08-14,56.0,293,262,299
2019-11-01,64.0,253,233,220
2019-11-24,86.0,270,322,277
2019-07-28,39.0,161,193,165
2019-10-23,101.0,375,394,409
2020-01-19,32.0,104,105,98
2019-08-30,37.0,173,178,196
2020-04-22,248.0,521,509,505
2019-10-02,106.0,494,525,531
2019-06-02,59.0,263,239,259
2019-09-09,68.0,219,221,198
2019-05-31,114.0,526,505,484
2019-06-09,48.0,201,240,227
2020-01-16,70.0,156,168,149
2019-12-08,137.0,378,373,398
2019-08-18,40.0,185,162,185
2019-06-22,39.0,214,233,245
2020-03-09,142.0,273,255,270
2019-11-09,69.0,234,213,219
2019-07-07,42.0,220,220,193
2019-12-12,173.0,540,557,530
2019-04-20,41.0,131,136,154
2020-03-20,106.0,201,204,231
2019-07-08,91.0,369,329,369
2019-04-12,49.0,219,233,231
2020-03-04,161.0,293,284,278
2019-05-26,45.0,213,199,196
2019-10-03,109.0,438,486,459
2019-07-15,96.0,479,430,471
2019-09-08,34.0,161,149,155
2019-09-14,28.0,99,113,114
2020-02-17,230.0,301,334,310
2019-10-24,96.0,346,317,385
2020-04-16,209.0,462,467,518
2020-01-14,62.0,197,178,191
2020-01-11,32.0,99,91,117
2019-11-08,77.0,331,299,291
2019-12-26,46.0,148,168,150
2019-09-18,43.0,159,162,166
2019-05-13,71.0,325,326,330
2019-08-15,57.0,245,272,283
2019-10-25,70.0,303,298,305
2019-06-16,53.0,210,223,201
2019-06-19,73.0,375,362,397
2019-11-23,76.0,283,295,291
2019-06-15,53.0,272,240,198
2019-06-04,77.0,376,384,395
2019-05-24,59.0,271,280,277
2019-05-16,95.0,326,324,303
2020-04-29,215.0,491,521,474
2019-05-18,61.0,195,220,216
2019-07-10,59.0,356,363,315
2020-01-21,62.0,191,175,168
2020-03-15,78.0,195,159,185
2020-02-04,,275,312,297
2019-06-12,78.0,418,362,361
2019-04-22,67.0,327,297,283
2019-08-03,45.0,185,203,184
2019-11-18,197.0,703,743,739
2020-01-10,34.0,144,156,111
2019-05-25,52.0,211,203,228
2019-06-23,60.0,211,209,223
2020-05-04,234.0,536,583,589
2019-06-08,61.0,222,227,220
2020-04-28,224.0,510,480,470
2020-03-23,140.0,297,274,283
2020-04-21,201.0,495,496,467
2020-04-09,143.0,343,330,292
2019-10-01,106.0,514,497,481
2019-07-01,99.0,379,384,398
2019-09-17,45.0,158,174,166
2019-06-11,79.0,372,372,386
2020-02-28,164.0,251,277,291
2019-06-03,98.0,418,430,406
2020-03-03,213.0,312,273,303
2019-12-16,92.0,292,266,307
2019-10-13,55.0,297,287,284
2020-05-08,191.0,516,498,491
2020-01-24,53.0,141,123,118
2020-04-19,133.0,362,372,350
2020-05-15,240.0,555,522,532
2019-05-09,62.0,247,244,278
2019-07-21,53.0,222,185,197
2019-11-26,135.0,448,451,466
2019-04-11,50.0,218,257,247
2019-08-23,29.0,188,206,191
2019-04-09,85.0,308,328,299
2019-11-17,139.0,487,487,513
2020-01-20,54.0,157,143,161
2020-04-25,170.0,394,378,371
2019-10-07,96.0,428,455,484
2019-08-28,53.0,214,203,227
2020-02-09,,185,198,174
2020-02-13,,255,249,244
2019-07-20,54.0,215,225,210
2020-02-21,157.0,224,227,204
2019-06-17,98.0,423,386,410
2019-06-07,54.0,295,271,274
2019-10-20,62.0,271,251,279
2020-02-19,217.0,290,278,264
2019-05-28,115.0,506,466,468
2020-02-07,,249,241,227
2019-10-31,86.0,301,296,297
2020-05-03,202.0,400,433,395
2019-12-11,203.0,651,706,658
2020-02-14,,184,228,203
2020-03-10,159.0,305,308,331
2020-03-24,102.0,294,271,282
2019-06-27,74.0,290,321,307
2019-12-03,170.0,583,544,587
2019-07-13,67.0,211,216,240
2019-12-21,42.0,127,141,128
2020-02-18,203.0,293,251,276
2019-11-07,114.0,336,384,373
2019-04-19,29.0,136,129,131
2019-05-17,59.0,256,300,311
2020-02-06,,274,267,259
2019-04-14,42.0,191,170,166
2019-10-10,90.0,444,427,388
2019-09-11,35.0,178,171,179
2019-11-13,89.0,440,416,390
2020-03-28,113.0,240,232,209
2020-02-22,100.0,205,203,169
2020-03-08,111.0,147,144,171
2019-07-19,65.0,278,298,294
2020-05-13,212.0,512,585,537
2020-02-26,163.0,274,259,253
2020-01-28,76.0,149,144,136
2019-04-28,51.0,137,137,171
2019-07-11,77.0,314,317,334
2020-04-23,202.0,454,479,474
2020-03-13,160.0,254,234,236
2020-03-12,136.0,272,254,302
2019-06-29,39.0,239,221,251
2019-06-06,103.0,333,332,356
2019-07-03,66.0,307,333,360
2019-12-04,162.0,549,582,582
2019-08-21,61.0,300,268,254
2020-01-23,60.0,146,135,136
2020-02-03,,195,237,243
2019-08-22,53.0,228,238,191
2020-04-15,187.0,481,546,466
2020-04-18,142.0,357,374,344
2020-04-10,123.0,294,281,302
2019-11-02,61.0,217,190,211
2019-04-08,92.0,340,324,320
2020-01-05,42.0,105,104,109
2020-03-31,160.0,337,362,329
2019-04-15,76.0,312,344,327
2020-02-29,111.0,213,253,187
2020-02-16,,166,208,199
2019-09-02,66.0,250,247,271
2020-03-06,130.0,218,237,218
2020-01-17,63.0,146,134,140
2019-04-27,56.0,156,159,173
2019-06-24,74.0,371,378,375
2020-01-15,63.0,186,168,181
2020-02-25,171.0,277,273,280
2019-08-24,39.0,141,143,140
2019-05-14,79.0,328,326,335
2020-03-19,119.0,259,251,258
2020-01-07,62.0,143,162,179
2019-09-25,68.0,239,226,198
2019-10-29,112.0,347,394,375
2019-07-30,61.0,269,357,313
2019-08-19,77.0,302,300,300
2019-09-07,45.0,157,149,153
2020-02-11,,338,335,331
2020-01-06,60.0,202,189,182
2019-08-08,66.0,236,238,276
2019-04-10,63.0,312,295,291
2019-10-28,96.0,377,410,420
2019-07-18,79.0,323,284,360
2019-07-09,70.0,364,330,375
2019-12-06,151.0,473,522,495
2020-05-10,135.0,341,319,329
2020-05-06,229.0,526,533,537
2020-04-04,134.0,272,262,288
2019-07-12,73.0,250,284,281
2020-05-01,189.0,437,451,454
2020-01-03,54.0,159,149,137
2020-03-14,104.0,197,187,196
2020-03-22,96.0,190,221,196
2019-08-31,33.0,174,144,153
2020-02-02,,152,180,144
2019-05-07,86.0,358,370,348
2019-10-22,94.0,411,419,436
2019-12-27,55.0,149,106,122
2019-11-28,156.0,460,450,482
2020-04-07,163.0,357,400,368
2019-10-17,77.0,390,370,361
2019-06-01,71.0,316,308,258
2019-04-17,49.0,205,223,217
2020-04-30,192.0,446,484,477
2020-04-27,210.0,530,508,531
2019-04-21,43.0,145,162,166
2019-08-29,41.0,217,195,215
2019-12-15,161.0,515,515,513
2019-10-18,71.0,289,303,286
2020-03-21,81.0,202,206,211
2019-04-13,58.0,187,187,173
2019-11-20,109.0,479,480,474
2019-07-27,46.0,202,180,201
2019-09-04,60.0,248,237,238
2019-10-27,59.0,217,206,229
2019-08-26,55.0,238,251,251
2020-03-29,95.0,205,227,234
2019-05-23,69.0,285,305,292
2020-04-11,154.0,279,274,304
2019-06-26,83.0,339,340,340
2019-10-05,79.0,332,323,358
2020-05-12,228.0,558,536,565
2020-02-20,194.0,245,251,260
2019-05-04,48.0,204,218,202
2019-11-14,106.0,378,402,391
2019-12-24,36.0,102,96,79
2020-02-23,109.0,161,154,188
2019-11-06,104.0,402,418,433
2019-09-27,66.0,214,193,192
2019-07-23,71.0,332,274,307
2019-11-21,112.0,427,426,428
2019-11-16,139.0,481,516,464
2019-06-05,86.0,358,346,357
2019-12-13,195.0,603,639,628
2019-05-20,76.0,358,370,353
2020-05-05,258.0,587,567,531
2019-07-04,71.0,358,321,295
2020-03-17,137.0,314,282,321
2019-11-04,114.0,403,420,376
2019-08-05,68.0,306,286,287
2019-10-12,58.0,275,298,299
