ORD_CREATED_DT,FREQUENCY_CG,FREQUENCY_1D,FREQUENCY_2D,FREQUENCY_3D
2020-08-05,659,1193,1208,1177
2020-08-06,648,668,670,725
2020-08-07,672,625,625,634
2020-08-08,530,491,487,510
2020-08-09,520,493,512,547
2020-08-10,761,747,758,758
2020-08-11,700,710,814,771
2020-08-12,737,702,735,724
2020-08-13,663,675,714,702
2020-08-14,672,622,654,693
2020-08-15,615,643,635,605
2020-08-16,585,614,578,629
2020-08-17,757,776,763,804
2020-08-18,778,786,762,739
2020-08-19,730,751,736,773
2020-08-20,719,688,1329,1333
2020-08-21,675,662,629,676
2020-08-22,555,599,540,508
2020-08-23,563,553,545,522
2020-08-24,790,718,715,761
2020-08-25,742,720,726,760
2020-08-26,731,730,734,735
2020-08-27,718,698,686,730
2020-08-28,680,664,660,691
2020-08-29,592,611,585,612
2020-08-30,589,614,624,575
2020-08-31,840,790,816,815
2020-09-01,777,803,811,762
2020-09-02,759,732,744,770
2020-09-03,761,728,733,1258
2020-09-04,661,688,639,711
2020-09-05,563,568,558,564
2020-09-06,572,569,579,550
2020-09-07,767,802,774,782
2020-09-08,760,760,727,748
2020-09-09,739,711,752,757
2020-09-10,688,724,722,689
2020-09-11,664,617,644,678
2020-09-12,553,535,583,552
2020-09-13,566,581,555,534
2020-09-14,762,759,741,738
2020-09-15,654,639,648,652
2020-09-16,621,626,662,633
2020-09-17,686,703,749,709
2020-09-18,677,647,663,620
2020-09-19,560,581,610,561
2020-09-20,541,575,610,537
2020-09-21,796,751,715,798
2020-09-22,741,756,735,745
2020-09-23,720,686,662,707
2020-09-24,660,670,669,652
2020-09-25,574,587,582,624
2020-09-26,545,512,544,526
2020-09-27,497,534,494,510
2020-09-28,761,698,758,709
2020-09-29,712,667,743,719
2020-09-30,758,728,772,808
2020-10-01,755,752,718,726
2020-10-02,618,620,696,684
2020-10-03,556,569,556,521
2020-10-04,527,573,538,552
2020-10-05,750,767,772,738
2020-10-06,724,684,723,745
2020-10-07,722,724,745,700
2020-10-08,671,656,711,708
2020-10-09,633,574,614,644
2020-10-10,492,476,507,546
2020-10-11,528,509,569,502
2020-10-12,889,877,912,884
2020-10-13,823,870,910,848
2020-10-14,812,876,885,828
2020-10-15,768,775,764,809
2020-10-16,644,640,684,638
2020-10-17,530,542,558,530
2020-10-18,554,561,545,544
2020-10-19,737,713,714,701
2020-10-20,721,730,795,763
2020-10-21,745,758,768,711
2020-10-22,731,670,671,702
2020-10-23,628,667,602,597
2020-10-24,482,525,498,490
2020-10-25,498,567,527,543
2020-10-26,775,734,742,754
2020-10-27,710,720,750,686
2020-10-28,749,695,734,711
2020-10-29,700,694,675,673
2020-10-30,616,666,642,612
2020-10-31,540,562,581,512
2020-11-01,493,485,487,484
2020-11-02,671,754,729,726
2020-11-03,802,838,768,767
