SITE|FECHA|SEGMENTO|SENT_TG|SENT_CG|INSTALLS_TG|INSTALLS_CG|GASTO_TG|INSTALL_TOUCH|BUYERS_2D|BUYERS_5D|BUYERS_30D|GMV INSTALL|REVENUE|TC|GMV_INC_30D|REVENUE_INC_30D|FREQ_INC_30D|SENT_MAIL|SENT_CAMP|OPEN_MAIL|OPEN_CAMP
MLM|2020-09-14|ALTO|378376.0|66668.0|1219.0|183.0|0.0|393.0|136|197.0|306.0|25042.58|2754.6838|21.0728|6022.0|607.0|118.0||||
MLM|2020-09-14|MEDIO|311217.0|55158.0|2033.0|157.0|1586.0741|1149.0|428|524.0|735.0|23830.63|2621.3693|21.0728|26802.0|1362.0|763.0||||
MLM|2020-09-14|BAJO|319333.0|56219.0|1436.0|128.0|1606.9984|677.0|298|340.0|418.0|19073.52|2098.0872|21.0728|17048.0|268.0|457.0||||
MLM|2020-09-21|ALTO|375324.0|66233.0|1632.0|226.0|0.0|949.0|336|457.0|712.0|30757.34|3383.3074|21.505|9806.369290999999|1078.700622|216.900077||||
MLM|2020-09-21|MEDIO|306719.0|54127.0|1897.0|179.0|232.505|1140.0|365|459.0|696.0|25222.05|2774.4255|21.505|21059.03034|1097.803138|758.167965||||
MLM|2020-09-21|BAJO|313970.0|55406.0|2237.0|159.0|3396.8739|1510.0|640|719.0|906.0|29823.99|3280.6389|21.505|13417.106829999999|231.534351|442.835668||||
MLC|2020-09-16|ALTO|90006.0|90005.0|303.0|239.0|0.0||77|0.0|0.0|5000.15|400.01|767.0123|||||||
MLC|2020-09-16|MEDIO|72768.0|72768.0|323.0|155.0|156.18||105|0.0|0.0|4508.33|360.67|767.0123|||||||
MLC|2020-09-16|BAJO|77334.0|77333.0|333.0|120.0|357.92||112|0.0|0.0|5176.27|414.1|767.0123|||||||
MLA|2020-08-24|BAJO|216868.0|216869.0|1857.0|353.0|2527.85||610|0.0|0.0|33121.45|3312.15|73.58|||||||
MLA|2020-08-24|MEDIO|208232.0|208233.0|1674.0|392.0|1450.72||570|0.0|0.0|27818.02|2781.8|73.58|||||||
MLA|2020-08-24|ALTO|267603.0|267603.0|690.0|545.0|0.0||166|0.0|0.0|14079.86|1407.99|73.58|||||||
MLM|2020-09-28|ALTO|370836.0|65487.0|1222.0|189.0|0.0|661.0|263|339.0|513.0|23733.29|2610.6619|22.4573|32456.25111|3570.187622|595.461866||||
MLM|2020-09-28|MEDIO|301665.0|53532.0|1590.0|144.0|941.7992|1074.0|428|504.0|680.0|19578.02|2153.5822|22.4573|26758.34737|2104.092511|790.5551370000003||||
MLM|2020-09-28|BAJO|308867.0|54163.0|1297.0|123.0|1202.8805|810.0|359|406.0|528.0|17495.09|1924.4599|22.4573|22926.118159999998|1459.313898|650.804444||||
MLM|2020-10-06|ALTO|385050.0|68183.0|1990.0|326.0|0.0|1166.0|541|664.0|949.0|55794.77|6137.4247|21.396|57825.20431|6310.709774|1136.425962||||
MLM|2020-10-06|MEDIO|320072.0|56360.0|2994.0|182.0|2911.3336|2043.0|995|1134.0|1449.0|46331.76|5096.4936|21.396|58091.979479999995|3964.838143|1778.2240809999994||||
MLM|2020-10-06|BAJO|328916.0|57934.0|2272.0|129.0|3869.4303|1479.0|702|795.0|974.0|33190.64|3650.9704|21.396|42227.53321|1539.637853|1253.624132||||
MLA|2020-10-13|ALTO|466229.0|82298.0|1769.0|281.0|0.0|1064.0|382|497.0|815.0|63049.42|5989.6949|77.43|57160.60091|5430.257087|632.231769||||
MLA|2020-10-13|MEDIO|376743.0|66581.0|2443.0|218.0|1630.8312|1594.0|665|767.0|1085.0|49622.57|4714.14415|77.43|51329.22915|3480.922569|1031.379669||||
MLA|2020-10-13|BAJO|410534.0|72327.0|2381.0|179.0|2743.5883|1470.0|652|736.0|960.0|54035.63|5133.38485|77.43|60838.4606|3586.488557|1026.4071529999999||||
MLM|2020-10-13|ALTO|380928.0|67316.0|1903.0|289.0|0.0|1280.0|672|804.0|1024.0|63207.71|6952.8481|21.3677|67785.79462|6952.353408|1235.7284140000004||||
MLM|2020-10-13|MEDIO|314771.0|55461.0|2836.0|209.0|3218.8642|1887.0|1046|1176.0|1402.0|60276.26|6630.3886|21.3677|64078.6065|4550.456814|1779.154023||||
